District,Tempreture,ph
ALAPPUZHA,27,6
ERNAKULAM,26,5
IDUKKI,30,6
KANNUR,26,7
KASARAGOD,26,7
KOLLAM,21,6
KOTTAYAM,26,6
KOZHIKODE,28,6
KASARAGOD,26,5
MALAPPURAM,0,7
PATHANAMTHITTA,27,6
THIRUVANANTHAPURAM,27,6
THRISSUR,27,7
WAYANAD,22,6
